MONTH,SP500
0,1394.46
1,1366.42
2,1498.58
3,1452.43
4,1420.60
5,1454.60
6,1430.83
7,1517.68
8,1436.51
9,1429.40
10,1314.95
11,1320.28
12,1366.01
13,1239.94
14,1160.33
15,1249.46
16,1255.82
17,1224.38
18,1211.23
19,1133.58
20,1040.94
21,1059.78
22,1139.45
23,1148.08
24,1130.20
25,1106.73
26,1147.39
27,1076.92
28,1067.14
29,989.82
30,911.62
31,916.07
32,815.28
33,885.76
34,936.31
35,879.82
36,855.70
37,841.15
38,848.18
39,916.92
40,963.59
41,974.50
42,993.32
43,1008.01
44,995.97
45,1050.71
46,1058.20
47,1111.92
48,1131.13
49,1144.94
50,1126.21
51,1107.30
52,1120.68
53,1140.84
54,1101.72
55,1104.24
56,1114.58
57,1130.20
58,1173.82
59,1211.92
60,1181.27
61,1203.60
62,1180.59
63,1156.85
64,1191.50
65,1191.33
66,1234.18
67,1220.33
68,1228.81
69,1207.01
70,1249.48
71,1248.29
72,1280.08
73,1280.66
74,1294.83
75,1310.61
76,1270.09
77,1270.20
78,1276.66
79,1303.82
80,1335.85
81,1377.94
82,1400.63
83,1418.30
84,1438.24
85,1406.82
86,1420.86
87,1482.37
88,1530.62
89,1503.35
90,1455.27
91,1473.99
92,1526.75
93,1549.38
94,1481.14
95,1468.36
96,1378.55
97,1330.63
98,1322.70
99,1385.59
100,1400.38
101,1280.00
102,1267.38
103,1282.83
104,1166.36
105,968.75
106,896.24
107,903.25
108,825.88
109,735.09
110,797.87
111,872.81
112,919.14
113,919.32
114,987.48
115,1020.62
116,1057.08
117,1036.19
118,1095.63
119,1115.10
120,1073.87
121,1104.49
122,1169.43
123,1186.69
124,1089.41
125,1030.71
126,1101.60
127,1049.33
128,1141.20
129,1183.26
130,1180.55
131,1257.64
132,1286.12
133,1327.22
134,1325.83
135,1363.61
136,1345.20
137,1320.64
138,1292.28
139,1218.89
140,1131.42
141,1253.30
142,1246.96
143,1257.60
144,1312.41
145,1365.68
146,1408.47
147,1397.91
148,1310.33
149,1362.16
150,1379.32
151,1406.58
152,1440.67
153,1412.16
154,1416.18
155,1426.19
156,1498.11
157,1514.68
158,1569.19
159,1597.57
160,1630.74
161,1606.28
162,1685.73
163,1632.97
164,1681.55
165,1756.54
166,1805.81
167,1848.36
168,1782.59
169,1859.45
170,1872.34
171,1883.95
172,1923.57
173,1960.23
174,1930.67
175,2003.37
176,1972.29
177,2018.05
178,2067.56
179,2058.90
180,1994.99
181,2104.50
182,2067.89
183,2085.51
184,2107.39
185,2063.11
186,2103.84
187,1972.18
188,1920.03
189,2079.36
190,2080.41
191,2043.94
192,1940.24
193,1932.23
194,2059.74
195,2065.30
196,2096.96
197,2098.86
198,2173.60
199,2170.95
200,2168.27
201,2126.15
202,2198.81
203,2238.83
204,2278.87
205,2363.64
206,2362.72
207,2384.20
208,2411.80
209,2423.41
210,2470.30
211,2471.65
212,2519.36
213,2575.26
214,2647.58
215,2673.61
216,2823.81
217,2713.83
218,2640.87
219,2648.05
220,2705.27
221,2718.37
222,2816.29
223,2901.52
224,2913.98
225,2711.74
226,2760.17
227,2506.85
228,2704.10
229,2784.49
230,2834.40
231,2945.83
232,2752.06
233,2941.76
234,2980.38
235,2926.46
236,2976.74
237,3037.56
238,3140.98
239,3230.78
